interval_m,seed,set_id,kappa,kr_hat,P32_hat
0.5,9,5,25.48,3.233,1.2919127307992315
6,8,1,15.29,2.633,1.043678776472771
6,8,2,16.18,2.9,0.8139994497363136
6,8,3,11.65,2.567,0.9737313543297268
6,8,5,26.27,3.433,1.0249507777491618
2,9,1,14.49,2.833,0.8686224954575534
2,9,2,16.57,2.9,0.6903238824244367
2,9,3,12.5,2.767,0.9503909956294211
2,9,5,23.56,3.233,0.9280244477278224
3,9,1,15.35,2.833,0.8931451603573418
3,9,2,16.86,2.967,0.8470439853602016
3,9,3,12.34,2.633,0.9866373879433595
3,9,5,25.48,3.233,1.065192941163734
6,9,1,15.11,2.833,0.8140986099537096
6,9,2,14.95,2.767,1.1202781293000774
6,9,3,12.33,2.7,1.0352758307679388
6,9,5,23.65,3.167,0.8940989626924936
0.5,10,1,13.56,3.367,0.6319781010550147
0.5,10,2,20.27,2.633,1.2121257203501192
0.5,10,3,13.22,3.1,0.7436706303370038
0.5,10,5,25.46,3.233,0.9468678656531543
2,10,1,15.35,2.967,0.7514434108542877
2,10,2,14.22,2.633,0.6610750829780471
2,10,3,10.83,2.7,0.8963571488208883
2,10,5,23.98,3.7,0.7605759759798203
1,10,1,12.91,3.433,0.598081644983544
1,10,2,15.01,2.633,1.0477049892509926
1,10,3,13.23,2.967,0.7677993887026562
1,10,5,23.78,3.633,0.9110693064026448
3,10,1,14.18,2.9,0.7363633950336667
3,10,2,15.78,2.567,0.989697140314899
3,10,3,9.59,2.9,0.9127275885085779
3,10,5,22.89,3.5,0.8165759877388888
0.5,11,1,11.91,2.767,0.6838357315762839
0.5,11,2,15.34,2.967,1.1289136564975741
0.5,11,3,10.95,2.433,0.8712357840648999
0.5,11,5,28.03,3.833,1.0261182162539544
1,11,1,13.1,2.833,0.6267696087361744
1,11,2,16.77,3.033,0.771002726181858
1,11,3,10.96,2.567,0.959945749048293
1,11,5,24.45,3.967,1.0131187431650177
3,11,1,15.2,2.633,0.8582589444728927
3,11,2,17.1,2.7,0.8423182536107364
