seed,mode,set_id,lmin_fit,kr_hat,fit_status,adoption_status,class_l1,q90_ratio
104,window_mc,1,0.1,3.25,ok,provisional_accepted,0.1128466063297409,1.0297309627875804
104,window_mc,1,0.2,3.6,ok,rejected,0.1543706427641154,0.9469902865041483
104,window_mc,1,0.3,3.2,ok,provisional_accepted,0.08878113803391467,0.9892539183105353
104,window_mc,1,0.5,3.05,ok,accepted,0.1164506666390533,1.02093882152025
104,window_mc,1,0.75,3.2,ok,provisional_accepted,0.15624046556302623,0.9656964627338166
104,window_mc,2,0.1,3.8000000000000003,weak_identifiability,rejected,0.02560228597704172,0.881362138147225
104,window_mc,2,0.2,4.15,weak_identifiability,rejected,0.02999583040268201,0.8457199984144758
104,window_mc,2,0.3,4.2,weak_identifiability,rejected,0.014647352310076932,0.8330837282681772
104,window_mc,2,0.5,4.65,weak_identifiability,rejected,0.03189646954145353,0.8027049264069988
104,window_mc,2,0.75,4.2,weak_identifiability,rejected,0.0698396420483333,0.848721302729268
104,window_mc,3,0.1,3.6,ok,provisional_accepted,0.10358436433907675,0.9197204219878394
104,window_mc,3,0.2,3.25,ok,accepted,0.10930451838004593,0.977496090439348
104,window_mc,3,0.3,3.3,ok,accepted,0.13446001581594794,0.9760622040605409
104,window_mc,3,0.5,3.3,ok,accepted,0.14392349429117668,0.9843249803670943
104,window_mc,3,0.75,3.35,ok,provisional_accepted,0.18207062565822,0.9523097530590623
104,window_mc,5,0.1,4.300000000000001,ok,rejected,0.02483283681721794,0.9038152060061522
104,window_mc,5,0.2,4.0,ok,provisional_accepted,0.03289537057930112,0.9367595792272658
104,window_mc,5,0.3,4.0,ok,provisional_accepted,0.03373978089075751,0.9327179731463299
104,window_mc,5,0.5,4.0,ok,provisional_accepted,0.1311740367209724,0.925810547289371
104,window_mc,5,0.75,3.9000000000000004,ok,provisional_accepted,0.09637348801654742,0.9335825982659165
104,hybrid,1,0.1,3.2,ok,provisional_accepted,0.11117426823976297,1.0348903081599665
104,hybrid,1,0.2,3.2,ok,provisional_accepted,0.1265525669498595,1.0479493769361272
104,hybrid,1,0.3,3.2,ok,provisional_accepted,0.09574243028198973,0.9831253419852463
104,hybrid,1,0.5,3.2,ok,provisional_accepted,0.13804672721597208,0.9721743722467654
104,hybrid,1,0.75,3.2,ok,provisional_accepted,0.16595056725521898,0.9686950729608012
104,hybrid,2,0.1,4.15,weak_identifiability,rejected,0.01570474431068433,0.8441092506579834
104,hybrid,2,0.2,4.050000000000001,weak_identifiability,rejected,0.03180640307615144,0.8653262015086679
